Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
2263,0,2,0.0,100.0,0.0,0.0,0.0,0.0,58.0,42.0,50.0,11.31370849898476,44189.12947414936,883.7825894829873,2263.0,0.0,2263.0,2263.0,0.0,0.0,0.0,0.0,0.0,2263.0,2263.0,0.0,2263.0,2263.0,0,0,0,0,0,16,0.0,883.7825894829873,42.0,58.0,47.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,71.0,0.0,50.0,0,0,0,0,0,0,0,0,2,100,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
27561,0,2,0.0,135.0,0.0,0.0,0.0,0.0,102.0,33.0,67.5,48.79036790187178,4898.225753782519,72.56630746344473,27561.0,0.0,27561.0,27561.0,0.0,0.0,0.0,0.0,0.0,27561.0,27561.0,0.0,27561.0,27561.0,0,0,0,0,0,16,0.0,72.56630746344473,33.0,102.0,56.0,39.83716857408418,1587.0,0,0,0,0,0,0,0,0,0.0,84.0,0.0,67.5,0,0,0,0,0,0,0,0,2,135,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
110441480,11,13,220.0,972.0,20.0,20.0,20.0,0.0,96.0,20.0,74.76923076923075,25.684476005795947,10.793046235888909,0.2173096557561525,4801803.478260869,5099851.247978628,10016532.0,14884.0,100359221.0,10035922.1,14752.714314849143,10077891.0,10030420.0,110441480.0,9203456.666666668,2891871.907676766,10085979.0,20751.0,0,0,0,0,88,104,0.0996002588882365,0.1177093968679159,20.0,96.0,48.48,33.31306050185122,1109.76,0,0,0,0,0,0,0,0,1.0,50.5,20.0,74.76923076923077,0,0,0,0,0,0,11,220,13,972,-1,-1,11,0,23729.0,16661.707541545675,73408.0,14884.0,10011323.818181818,3978.4545446236766,10016532.0,10004483.0,Scan
434555,0,2,0.0,178.0,0.0,0.0,0.0,0.0,148.0,30.0,89.0,83.43860018001261,409.614433155757,4.602409361300641,434555.0,0.0,434555.0,434555.0,0.0,0.0,0.0,0.0,0.0,434555.0,434555.0,0.0,434555.0,434555.0,0,0,0,0,0,16,0.0,4.602409361300641,30.0,148.0,69.33333333333334,68.12733176437584,4641.333333333334,0,0,0,0,0,0,0,0,0.0,104.0,0.0,89.0,0,0,0,0,0,0,0,0,2,178,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
2278,0,2,0.0,163.0,0.0,0.0,0.0,0.0,129.0,34.0,81.5,67.17514421272202,71553.99473222124,877.9631255487269,2278.0,0.0,2278.0,2278.0,0.0,0.0,0.0,0.0,0.0,2278.0,2278.0,0.0,2278.0,2278.0,0,0,0,0,0,16,0.0,877.9631255487269,34.0,129.0,65.66666666666667,54.84827557301445,3008.333333333333,0,0,0,0,0,0,0,0,0.0,98.5,0.0,81.5,0,0,0,0,0,0,0,0,2,163,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
3584,0,2,0.0,80.0,0.0,0.0,0.0,0.0,48.0,32.0,40.0,11.31370849898476,22321.42857142857,558.0357142857143,3584.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,3584.0,3584.0,0.0,3584.0,3584.0,0,0,0,0,0,16,0.0,558.0357142857143,32.0,48.0,37.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,56.0,0.0,40.0,0,0,0,0,0,0,0,0,2,80,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
2414,0,2,0.0,137.0,0.0,0.0,0.0,0.0,100.0,37.0,68.5,44.54772721475249,56752.27837613919,828.5004142502072,2414.0,0.0,2414.0,2414.0,0.0,0.0,0.0,0.0,0.0,2414.0,2414.0,0.0,2414.0,2414.0,0,0,0,0,0,16,0.0,828.5004142502072,37.0,100.0,58.0,36.37306695894642,1323.0,0,0,0,0,0,0,0,0,0.0,87.0,0.0,68.5,0,0,0,0,0,0,0,0,2,137,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
19402,0,2,0.0,248.0,0.0,0.0,0.0,0.0,218.0,30.0,124.0,132.93607486307093,12782.187403360478,103.08215647871354,19402.0,0.0,19402.0,19402.0,0.0,0.0,0.0,0.0,0.0,19402.0,19402.0,0.0,19402.0,19402.0,0,0,0,0,0,16,0.0,103.08215647871354,30.0,218.0,92.66666666666666,108.54185060764964,11781.333333333332,0,0,0,0,0,0,0,0,0.0,139.0,0.0,124.0,0,0,0,0,0,0,0,0,2,248,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
2731,0,2,0.0,152.0,0.0,0.0,0.0,0.0,121.0,31.0,76.0,63.63961030678928,55657.268399853536,732.3324789454413,2731.0,0.0,2731.0,2731.0,0.0,0.0,0.0,0.0,0.0,2731.0,2731.0,0.0,2731.0,2731.0,0,0,0,0,0,16,0.0,732.3324789454413,31.0,121.0,61.0,51.96152422706632,2700.0,0,0,0,0,0,0,0,0,0.0,91.5,0.0,76.0,0,0,0,0,0,0,0,0,2,152,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
287680,1,2,20.0,116.0,20.0,20.0,20.0,0.0,96.0,20.0,58.0,53.74011537017761,472.7474972191324,10.42825361512792,143840.0,171725.12445184018,265268.0,22412.0,0.0,0.0,0.0,0.0,0.0,287680.0,287680.0,0.0,287680.0,287680.0,0,0,0,0,8,16,3.4760845383759733,6.952169076751947,20.0,96.0,39.0,38.0,1444.0,0,0,0,0,0,0,0,0,2.0,52.0,20.0,58.0,0,0,0,0,0,0,1,20,2,116,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scan
